Training / Testing on Set1:
Sample Log Likelihoods:
Mean: -37.1874052632
Training / Testing on Set2:
Sample Log Likelihoods:
Mean: -67.3772007463
Training Set1 / Testing on Set2:
Sample Log Likelihoods:
Mean: -61.2595238806
Training Set2 / Testing on Set1:
Sample Log Likelihoods:
Mean: -72.4043274854
Control1	Eval1	Control2	Eval2
-33.7357	-53.23	-91.9292	-60.9205
-27.6466	-52.0266	-69.1017	-54.9745
-24.2891	-140.285	-212.476	-44.6215
-39.4078	-56.2585	-64.4927	-77.7154
-36.735	-44.184	-50.6437	-63.9677
-44.5891	-32.2852	-53.0077	-65.5018
-23.1076	-43.5473	-52.2943	-63.0692
-26.4203	-51.8018	-52.6625	-59.6898
-29.2169	-58.7238	-76.0842	-75.5073
-26.3892	-49.7792	-77.3174	-60.3771
-40.1721	-39.1704	-56.7046	-83.2876
-44.2411	-31.9261	-68.7607	-72.2057
-32.6425	-38.5162	-67.2727	-77.7006
-44.5009	-55.519	-52.7918	-63.7331
-28.8855	-36.8482	-66.452	-73.2365
-28.7576	-58.979	-78.2533	-67.9783
-22.9598	-50.6648	-81.8252	-67.3314
-30.0601	-45.6573	-79.426	-63.6584
-21.6055	-77.9801	-60.9255	-53.0349
-20.5594	-139.93	-198.728	-56.7155
-50.5831	-86.2816	-62.9623	-83.7988
-30.2727	-76.1795	-72.2266	-66.7115
-34.3718	-40.2141	-56.3425	-70.7685
-33.5485	-66.262	-63.6056	-67.6446
-39.0464	-68.917	-54.354	-65.9901
-30.5147	-32.2871	-63.5225	-73.9565
-42.4589	-44.5311	-72.8459	-52.5901
-43.8914	-59.2754	-66.2575	-71.8191
-38.9289	-35.8337	-76.0631	-74.8261
-29.515	-33.379	-54.6569	-61.2129
-32.3118	-66.8284	-76.2822	-63.2998
-41.8187	-35.047	-72.0049	-70.3048
-31.3021	-40.1668	-52.843	-70.95
-34.0549	-62.4009	-55.12	-68.6987
-21.9385	-46.417	-55.3867	-65.8328
-43.8271	-52.5943	-74.8837	-63.1325
-27.3308	-56.778	-61.9662	-69.0343
-88.7774	-75.5228	-57.5855	-75.8971
-27.2992	-36.6036	-64.2312	-54.1924
-135.019	-48.4141	-64.3205	-188.071
-31.6644	-55.3689	-60.062	-70.1686
-44.2026	-75.68	-74.0422	-82.5943
-57.8996	-90.3425	-71.2174	-82.5827
-46.682	-66.3835	-55.7818	-88.904
-21.722	-73.1133	-72.8545	-60.2103
-25.1714	-86.972	-61.7371	-69.9737
-18.631	-72.3917	-67.3964	-58.6138
-19.1438	-50.4097	-49.2892	-61.983
-30.9115	-93.2578	-68.4334	-73.4875
-34.952	-77.4127	-59.3966	-74.2038
-24.1523	-119.163	-75.273	-66.3875
-37.9971	-64.3004	-55.6216	-72.0733
-24.6469	-61.3734	-58.4215	-77.2633
-36.4433	-67.7621	-58.6505	-67.6908
-23.6679	-59.4554	-67.8919	-57.5009
-46.2021	-67.7894	-65.9177	-77.0462
-58.1709	-34.3359	-43.1614	-95.081
-24.289	-26.6753	-55.3923	-66.17
-22.1957	-92.6196	-67.122	-69.02
-19.6369	-99.8572	-75.7284	-57.8896
-28.4703	-65.855	-55.535	-76.7602
-25.9607	-53.0342	-64.3654	-68.0642
-29.5073	-53.2348	-54.6317	-70.9899
-28.2389	-40.7136	-69.6979	-68.7393
-20.2955	-43.2287	-68.598	-60.7871
-32.6798	-52.3011	-54.6423	-67.7626
-43.8428	-81.782	-64.2941	-66.0242
-30.2733	-95.5385	-60.9864	-66.4119
-32.2655	-42.9135	-50.9846	-78.3304
-34.1418	-55.9112	-54.877	-74.9831
-38.4254	-87.8827	-73.6187	-82.9276
-19.034	-70.5489	-64.255	-60.3666
-26.2125	-141.012	-183.055	-59.7518
-49.8903	-66.6534	-57.0813	-58.5068
-23.7932	-51.1825	-50.4938	-65.2491
-26.547	-40.671	-63.9979	-55.648
-25.804	-52.6278	-68.9498	-69.5035
-149.332	-37.0279	-69.3616	-218.188
-84.5358	-40.8101	-81.1343	-79.3542
-26.3332	-93.15	-72.9729	-67.5598
-25.8468	-58.6156	-59.8974	-64.0302
-39.6103	-52.3904	-57.4851	-84.9764
-46.2244	-42.5574	-74.017	-72.6866
-46.0161	-48.0136	-57.5536	-61.8855
-25.6891	-21.9401	-64.7678	-69.4115
-35.8047	-70.7253	-51.6592	-66.2985
-34.1396	-65.4586	-69.3986	-72.4996
-29.1914	-42.7694	-45.7816	-67.5722
-26.2998	-78.3887	-83.7237	-67.3857
-26.4883	-76.0448	-85.8967	-56.9933
-34.7283	-57.912	-66.4113	-82.33
-32.9776	-49.2398	-65.1021	-61.2986
-24.4982	-34.9859	-69.9454	-64.0813
